1	0	5.4,3.9,1.7,0.4
2	1	6.4,3.1,5.5,1.8
0	2	4.6,3.6,1.0,0.2
1	3	5.5,4.2,1.4,0.2
1	4	5.1,3.5,1.4,0.2
0	5	4.3,3.0,1.1,0.1
2	6	7.7,2.6,6.9,2.3
2	7	6.4,2.7,5.3,1.9
2	8	6.0,2.9,4.5,1.5
2	9	6.7,3.1,4.4,1.4
2	10	6.9,3.1,5.1,2.3
1	11	4.9,3.1,1.5,0.1
2	12	5.8,2.8,5.1,2.4
1	13	5.5,3.5,1.3,0.2
1	14	4.8,3.0,1.4,0.1
1	15	5.1,3.8,1.5,0.3
2	16	6.7,3.3,5.7,2.1
2	17	6.4,3.2,4.5,1.5
1	18	5.7,4.4,1.5,0.4
2	19	6.8,3.0,5.5,2.1
0	20	4.6,3.4,1.4,0.3
2	21	6.8,2.8,4.8,1.4
2	22	6.3,3.3,6.0,2.5
2	23	5.6,2.9,3.6,1.3
2	24	5.7,2.5,5.0,2.0
1	25	5.1,3.7,1.5,0.4
1	26	5.1,3.5,1.4,0.3
2	27	6.3,2.5,5.0,1.9
1	28	5.4,3.4,1.5,0.4
2	29	5.8,2.7,3.9,1.2
2	30	6.0,3.0,4.8,1.8
2	31	5.5,2.6,4.4,1.2
2	32	7.2,3.2,6.0,1.8
2	33	5.2,2.7,3.9,1.4
2	34	7.4,2.8,6.1,1.9
2	35	5.5,2.4,3.8,1.1
2	36	4.9,2.4,3.3,1.0
2	37	5.6,3.0,4.5,1.5
2	38	6.9,3.2,5.7,2.3
0	39	4.4,3.0,1.3,0.2
2	40	5.9,3.0,5.1,1.8
2	41	5.7,3.0,4.2,1.2
0	42	4.4,3.2,1.3,0.2
1	43	5.3,3.7,1.5,0.2
2	44	5.0,2.3,3.3,1.0
1	45	4.6,3.1,1.5,0.2
2	46	5.4,3.0,4.5,1.5
1	47	5.0,3.0,1.6,0.2
2	48	7.7,2.8,6.7,2.0
1	49	5.4,3.7,1.5,0.2
2	50	4.9,2.5,4.5,1.7
1	51	4.9,3.1,1.5,0.1
2	52	5.5,2.5,4.0,1.3
2	53	6.1,2.8,4.0,1.3
2	54	6.5,2.8,4.6,1.5
2	55	5.7,2.8,4.1,1.3
1	56	5.2,3.4,1.4,0.2
2	57	6.7,3.3,5.7,2.5
2	58	7.9,3.8,6.4,2.0
2	59	6.5,3.0,5.2,2.0
1	60	5.0,3.5,1.3,0.3
2	61	7.2,3.0,5.8,1.6
1	62	5.0,3.5,1.6,0.6
2	63	6.2,3.4,5.4,2.3
1	64	4.9,3.0,1.4,0.2
2	65	6.3,3.3,4.7,1.6
2	66	6.7,3.1,5.6,2.4
2	67	6.1,3.0,4.6,1.4
2	68	6.9,3.1,5.4,2.1
2	69	5.8,2.7,5.1,1.9
0	70	4.5,2.3,1.3,0.3
2	71	6.1,2.9,4.7,1.4
2	72	6.3,2.5,4.9,1.5
2	73	6.3,2.8,5.1,1.5
2	74	5.0,2.0,3.5,1.0
2	75	5.8,2.7,5.1,1.9
2	76	6.1,2.8,4.7,1.2
2	77	5.7,2.8,4.5,1.3
1	78	5.0,3.6,1.4,0.2
2	79	6.5,3.0,5.8,2.2
2	80	5.7,2.6,3.5,1.0
2	81	6.0,2.2,4.0,1.0
1	82	5.1,3.3,1.7,0.5
1	83	4.8,3.4,1.6,0.2
2	84	6.4,2.8,5.6,2.2
1	85	5.4,3.9,1.3,0.4
2	86	6.0,3.4,4.5,1.6
2	87	6.7,3.0,5.0,1.7
2	88	6.2,2.9,4.3,1.3
1	89	5.2,3.5,1.5,0.2
2	90	5.9,3.2,4.8,1.8
1	91	5.4,3.4,1.7,0.2
2	92	7.7,3.8,6.7,2.2
2	93	6.3,2.3,4.4,1.3
1	94	5.1,3.4,1.5,0.2
2	95	5.9,3.0,4.2,1.5
2	96	6.7,2.5,5.8,1.8
2	97	6.3,2.9,5.6,1.8
2	98	6.5,3.2,5.1,2.0
2	99	6.4,2.9,4.3,1.3
1	100	5.1,3.8,1.9,0.4
2	101	5.6,2.5,3.9,1.1
2	102	7.0,3.2,4.7,1.4
2	103	6.7,3.0,5.2,2.3
1	104	4.8,3.1,1.6,0.2
2	105	5.5,2.3,4.0,1.3
2	106	7.7,3.0,6.1,2.3
